orderid,shipcity,shipstate,shippostalcode,shipcountry,courier_status
404-9632124-1107550,VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN,Shipped
402-1465437-0579556,JEYPUR,ODISHA,764001.0,IN,Shipped
404-7774085-3780319,HYDERABAD,TELANGANA,500028.0,IN,Shipped
402-2764952-1492318,LUCKNOW,UTTAR PRADESH,226016.0,IN,Shipped
406-0272200-7784379,CHENNAI,TAMIL NADU,600033.0,IN,Shipped
403-4367956-2849158,NEW DELHI,DELHI,110092.0,IN,Shipped
403-4367956-2849158,NEW DELHI,DELHI,110092.0,IN,Shipped
403-4242957-8599555,THIRUVANANTHAPURAM,KERALA,695011.0,IN,Shipped
408-7165704-5643524,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped
402-8210765-3935569,JABALPUR,MADHYA PRADESH,482002.0,IN,Shipped
406-7398201-3869914,MUMBAI,MAHARASHTRA,400092.0,IN,Shipped
408-3478480-0881162,LUCKNOW,UTTAR PRADESH,226017.0,IN,Shipped
402-7595162-9129931,MUMBAI,MAHARASHTRA,400076.0,IN,Shipped
171-6876154-6233146,KOLKATA,WEST BENGAL,700014.0,IN,Shipped
408-3917043-5314763,ONGOLE,ANDHRA PRADESH,523001.0,IN,Shipped
408-9281152-6213100,SECUNDERABAD,TELANGANA,500017.0,IN,Shipped
403-3496411-3082707,HYDERABAD,TELANGANA,500062.0,IN,Shipped
171-9208368-0157156,KEWALPUR,UTTAR PRADESH,271881.0,IN,Shipped
408-2137113-0982751,CUTTACK,ODISHA,753012.0,IN,Shipped
402-3628566-9688333,BADLAPUR,MAHARASHTRA,421503.0,IN,Shipped
408-7138000-9728362,dimapur,NAGALAND,797112.0,IN,Shipped
402-1752649-2274748,BENGALURU,KARNATAKA,560047.0,IN,Shipped
402-7944191-1869101,BENGALURU,KARNATAKA,560076.0,IN,Shipped
407-4063876-9566742,WARANGAL,TELANGANA,506001.0,IN,Shipped
403-0752752-4656334,DHAULPUR,RAJASTHAN,328024.0,IN,Shipped
406-8879861-2081117,GUWAHATI,ASSAM,781029.0,IN,Shipped
406-8089333-7941903,Bengaluru,KARNATAKA,560103.0,IN,Shipped
171-3072652-6805159,HYDERABAD,TELANGANA,500072.0,IN,Shipped
171-2592464-6846743,BENGALURU,KARNATAKA,560023.0,IN,Shipped
404-2262140-4696366,NAGPUR,MAHARASHTRA,440022.0,IN,Shipped
404-2262140-4696366,NAGPUR,MAHARASHTRA,440022.0,IN,Shipped
405-3594372-1614709,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped
407-2974257-4781134,THANE,MAHARASHTRA,400607.0,IN,Shipped
171-4137548-0481151,Dahod,Gujarat,389151.0,IN,Cancelled
405-4461562-9113959,RANCHI,JHARKHAND,834004.0,IN,Shipped
404-4535078-5241919,PUNE,MAHARASHTRA,411014.0,IN,Shipped
405-8387725-2971512,BENGALURU,KARNATAKA,560040.0,IN,Shipped
405-6480932-8759528,VIJAPURA,KARNATAKA,586201.0,IN,Shipped
405-9966506-3155561,CHENNAI,TAMIL NADU,600041.0,IN,Shipped
408-7029737-8028367,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped
407-2189901-7515567,bangalore,KARNATAKA,560001.0,IN,Shipped
402-2105657-2899562,BENGALURU,KARNATAKA,560098.0,IN,Shipped
406-1326801-8886709,BERHAMPUR,ODISHA,760002.0,IN,Shipped
408-7760667-5809130,HYDERABAD,TELANGANA,500085.0,IN,Shipped
405-8457623-9269955,PUNE,MAHARASHTRA,411045.0,IN,Shipped
408-6820155-3521913,TEZPUR,ASSAM,784001.0,IN,Shipped
403-6190683-2687538,HIMMATNAGAR,Gujarat,383001.0,IN,Shipped
408-4069830-3819562,Kolkata,WEST BENGAL,700048.0,IN,Shipped
408-4069830-3819562,Kolkata,WEST BENGAL,700048.0,IN,Shipped
408-4069830-3819562,Kolkata,WEST BENGAL,700048.0,IN,Shipped
171-7367545-7081126,HYDERABAD,TELANGANA,502032.0,IN,Shipped
404-6522553-9345930,DEHRADUN,UTTARAKHAND,248001.0,IN,Unknown
403-9950518-0349133,HYDERABAD,TELANGANA,500072.0,IN,Cancelled
407-6599093-6553153,KOLKATA,WEST BENGAL,700078.0,IN,Shipped
403-3763475-2237125,DHARMAPURI,TAMIL NADU,636705.0,IN,Shipped
405-1492294-0323520,DEHRADUN,UTTARAKHAND,248005.0,IN,Shipped
403-1162895-2484367,JAIPUR,RAJASTHAN,303905.0,IN,Shipped
171-6833843-5473114,VADODARA,Gujarat,390019.0,IN,Shipped
403-1477057-8253913,CHAVAKKAD,KERALA,680506.0,IN,Shipped
408-2114413-6089906,PATNA,BIHAR,800026.0,IN,Shipped
405-1879750-2639521,CHENNAI,TAMIL NADU,600028.0,IN,Shipped
406-5727754-5302723,VADODARA,Gujarat,390018.0,IN,Shipped
405-0901744-8270705,VADODARA,Gujarat,390003.0,IN,Shipped
405-9112089-3379536,PUNE,MAHARASHTRA,411046.0,IN,Cancelled
408-6357132-2310703,Jammu,JAMMU & KASHMIR,180011.0,IN,Shipped
406-5334922-9670748,bangalore,KARNATAKA,560026.0,IN,Shipped
402-8519791-3706738,NEW DELHI,DELHI,110036.0,IN,Shipped
408-1830318-0357940,NARNAUND,HARYANA,125039.0,IN,Shipped
406-5103760-7326749,Ahmedabad,Gujarat,380051.0,IN,Shipped
402-7841951-1872363,NEW DELHI,DELHI,110036.0,IN,Cancelled
408-7698765-2294756,AMBARNATH,MAHARASHTRA,421502.0,IN,Shipped
404-1856281-9996319,GWALIOR,MADHYA PRADESH,474005.0,IN,Shipped
406-5406738-7113145,NEW DELHI,DELHI,110078.0,IN,Shipped
405-5257740-5301158,ROHTAK,HARYANA,124001.0,IN,Shipped
405-5257740-5301158,ROHTAK,HARYANA,124001.0,IN,Shipped
405-2072502-4089911,ROHTAK,HARYANA,124001.0,IN,Shipped
405-0882561-5952340,Kolkata,WEST BENGAL,700156.0,IN,Shipped
403-7266170-1163500,MUMBAI,MAHARASHTRA,400076.0,IN,Shipped
405-8114272-1687512,NEW DELHI,DELHI,110034.0,IN,Shipped
171-6138639-1478731,HYDERABAD,TELANGANA,500054.0,IN,Shipped
405-4059216-4541150,HYDERABAD,TELANGANA,500072.0,IN,Shipped
405-1152015-7333945,PATNA,BIHAR,800002.0,IN,Shipped
406-0177436-6731556,RAMAGUNDAM,TELANGANA,505211.0,IN,Shipped
406-0715107-8168308,PITHORAGARH,UTTARAKHAND,262501.0,IN,Shipped
403-0104882-7373900,HIMMATNAGAR,Gujarat,383001.0,IN,Unshipped
403-0104882-7373900,HIMMATNAGAR,Gujarat,383001.0,IN,Unshipped
403-0104882-7373900,HIMMATNAGAR,Gujarat,383001.0,IN,Unshipped
405-3002282-6797102,KOLKATA,WEST BENGAL,700057.0,IN,Shipped
407-8466904-3461908,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped
171-3305587-5364338,HYDERABAD,TELANGANA,500053.0,IN,Shipped
406-8961316-8137943,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN,Shipped
406-8961316-8137943,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN,Shipped
171-2813040-8296320,KOLAR,KARNATAKA,563101.0,IN,Shipped
408-9845791-1393151,PATIALA,PUNJAB,147001.0,IN,Shipped
402-4277204-2348328,REWA,MADHYA PRADESH,486001.0,IN,Shipped
171-3049339-2085136,BONGAIGAON,ASSAM,783380.0,IN,Shipped
405-9928526-2470747,HYDERABAD,TELANGANA,500087.0,IN,Shipped
405-4908072-0260360,BENGALURU,KARNATAKA,560055.0,IN,Shipped
406-3984186-5973150,Chengalpattu,TAMIL NADU,603002.0,IN,Shipped
171-8635309-7508346,PERAMBALUR,TAMIL NADU,621212.0,IN,Shipped
171-0293372-4913973,KOLAR,KARNATAKA,563101.0,IN,Cancelled
402-8288606-4313118,BILASPUR,HIMACHAL PRADESH,174001.0,IN,Shipped
402-8746990-6412346,CHENNAI,TAMIL NADU,600099.0,IN,Shipped
402-0294212-5431551,VARANASI,UTTAR PRADESH,221010.0,IN,Shipped
406-1530134-2105912,BENGALURU,KARNATAKA,560036.0,IN,Shipped
403-5222550-4437140,COIMBATORE,TAMIL NADU,641035.0,IN,Shipped
408-1482435-5202714,CHIRMIRI,CHHATTISGARH,497449.0,IN,Shipped
403-6442534-2769112,AZAMGARH,UTTAR PRADESH,276302.0,IN,Cancelled
408-3113070-0750756,KALYAN,MAHARASHTRA,421306.0,IN,Shipped
404-7796841-1880317,NEW DELHI,DELHI,110016.0,IN,Shipped
405-2142542-0941949,HYDERABAD,TELANGANA,502032.0,IN,Shipped
405-0286717-7761132,HYDERABAD,TELANGANA,502032.0,IN,Shipped
406-9021273-9221106,GUWAHATI,ASSAM,781026.0,IN,Shipped
404-5381335-4577925,MYSORE,KARNATAKA,570008.0,IN,Shipped
171-0131752-2560336,BARABANKI,UTTAR PRADESH,225001.0,IN,Shipped
407-4235449-1353916,AMILA,UTTAR PRADESH,275301.0,IN,Shipped
171-8061614-5688327,VIJAYAWADA,ANDHRA PRADESH,520010.0,IN,Shipped
407-8248783-4261958,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331.0,IN,Shipped
404-6513062-3876305,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,Shipped
406-7779874-9136347,HERBERTPUR,UTTARAKHAND,248142.0,IN,Shipped
406-9638549-1733961,BENGALURU,KARNATAKA,560048.0,IN,Shipped
407-8801185-0134713,bangalore,KARNATAKA,560001.0,IN,Shipped
171-3625443-6505905,KALAMASSERY,KERALA,682021.0,IN,Shipped
402-8078642-8565124,Puri-2,ODISHA,752002.0,IN,Cancelled
402-2820441-9623566,TIKABALI,ODISHA,762010.0,IN,Shipped
171-4312987-5366767,BIHARSHARIF,BIHAR,803115.0,IN,Shipped
403-5189998-9343503,HYDERABAD,TELANGANA,500075.0,IN,Shipped
407-9863928-5979501,PARAVUR,KERALA,683513.0,IN,Shipped
171-4644162-9093116,BASTI,UTTAR PRADESH,272001.0,IN,Shipped
406-0974406-3179521,WALAJAPET,TAMIL NADU,632513.0,IN,Shipped
402-0048138-1845122,Dimapur,NAGALAND,797112.0,IN,Shipped
407-6283946-7749133,Bengaluru,KARNATAKA,560029.0,IN,Shipped
407-0542879-1795554,Mahendragarh,HARYANA,123027.0,IN,Shipped
406-0218328-1773963,WALAJAPET,TAMIL NADU,632513.0,IN,Cancelled
407-3742007-3242711,HYDERABAD,TELANGANA,500086.0,IN,Shipped
407-3742007-3242711,HYDERABAD,TELANGANA,500086.0,IN,Shipped
405-3067317-3360344,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped
406-5648244-8317954,New Delhi,DELHI,110019.0,IN,Shipped
171-3460653-0171519,GURUGRAM,HARYANA,122002.0,IN,Shipped
404-5337874-2284337,BENGALURU,KARNATAKA,560040.0,IN,Shipped
405-2660443-4165145,BENGALURU,KARNATAKA,560022.0,IN,Shipped
402-3329522-2367566,MUMBAI,MAHARASHTRA,400069.0,IN,Shipped
406-3078054-1755513,BIJNOR,UTTAR PRADESH,246722.0,IN,Shipped
171-4647176-6456305,MUMBAI,MAHARASHTRA,400078.0,IN,Shipped
408-5011528-8276347,ALLAHABAD,UTTAR PRADESH,211001.0,IN,Shipped
407-4097885-3129958,VASAI VIRAR,MAHARASHTRA,401202.0,IN,Shipped
171-1224053-5752314,BENGALURU,KARNATAKA,560087.0,IN,Unknown
406-2849582-6531553,BIJNOR,UTTAR PRADESH,246701.0,IN,Shipped
407-5875767-6399551,HYDERABAD,TELANGANA,500085.0,IN,Shipped
171-6336729-6763536,BENGALURU,KARNATAKA,560037.0,IN,Unshipped
404-3907920-5281963,HYDERABAD,TELANGANA,500090.0,IN,Shipped
408-7310428-6047538,BENGALURU,KARNATAKA,560075.0,IN,Shipped
403-2608092-6065935,MANGALURU,KARNATAKA,575001.0,IN,Shipped
404-9760385-9109154,HYDERABAD,TELANGANA,500034.0,IN,Shipped
405-0732969-3941948,NEW TOWN,WEST BENGAL,700059.0,IN,Shipped
402-2720308-2560327,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
402-0589123-6183541,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
408-3874942-9917143,SAMBHAL,UTTAR PRADESH,244302.0,IN,Shipped
402-1706149-0949104,NAGPUR,MAHARASHTRA,441002.0,IN,Shipped
407-1672316-3245939,ELAVANASURKOTTAI,TAMIL NADU,607202.0,IN,Shipped
405-1832646-7988329,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0,IN,Shipped
408-9692204-9817146,KALYAN,MAHARASHTRA,421306.0,IN,Unshipped
402-9339129-6219537,MYSURU,KARNATAKA,570016.0,IN,Unshipped
405-3036350-8089120,ANKLESHWR,Gujarat,393002.0,IN,Shipped
404-6680046-0839536,Chennai,TAMIL NADU,600117.0,IN,Shipped
406-2966654-4672325,Greater Noida West,UTTAR PRADESH,201009.0,IN,Shipped
403-4845285-4565113,JAMMU,JAMMU & KASHMIR,180007.0,IN,Shipped
171-4496851-5319548,BENGALURU,KARNATAKA,560085.0,IN,Shipped
408-3416118-1167564,ITANAGAR,ARUNACHAL PRADESH,791113.0,IN,Shipped
406-1590113-9193914,KOLKATA,WEST BENGAL,700075.0,IN,Shipped
404-0363929-8015528,KARANJA,MAHARASHTRA,444105.0,IN,Shipped
407-7173744-5333154,NEW DELHI,DELHI,110074.0,IN,Shipped
405-6880044-2861120,NIMBAHERA,RAJASTHAN,312620.0,IN,Shipped
403-4337144-0984323,JAMMU,JAMMU & KASHMIR,180007.0,IN,Cancelled
171-1851948-5476361,Imphal East,MANIPUR,795010.0,IN,Shipped
171-5810429-4493110,BIDHAN NAGAR,WEST BENGAL,700064.0,IN,Shipped
171-1068229-1581965,BIDHAN NAGAR,WEST BENGAL,700064.0,IN,Shipped
402-2105140-3584364,BENGALURU,KARNATAKA,560064.0,IN,Shipped
403-3561336-3563535,AHMEDABAD,Gujarat,380015.0,IN,Shipped
402-9532672-5385917,TIRUCHIRAPPALLI,TAMIL NADU,620001.0,IN,Shipped
408-4547464-4180323,BHUBANESWAR,ODISHA,752054.0,IN,Shipped
402-2211107-5096323,ALIGARH,UTTAR PRADESH,202001.0,IN,Shipped
403-9412025-7537140,KOCHI,KERALA,682006.0,IN,Shipped
403-5456917-5571511,GHAZIABAD,UTTAR PRADESH,201014.0,IN,Cancelled
171-8452330-4756317,PUNE,MAHARASHTRA,412207.0,IN,Shipped
171-4350114-4299568,PUNE,MAHARASHTRA,412207.0,IN,Shipped
405-8692900-3888310,Bangalore,KARNATAKA,560016.0,IN,Shipped
402-6750101-3923558,MALAPPURAM,KERALA,676517.0,IN,Shipped
403-5725327-6264327,NOIDA,UTTAR PRADESH,201301.0,IN,Shipped
403-5209693-1173944,GREATER NOIDA,UTTAR PRADESH,201308.0,IN,Shipped
403-8255889-7526765,PATNA,BIHAR,800023.0,IN,Shipped
407-3554912-7244363,SIBSAGAR,ASSAM,785674.0,IN,Shipped
407-4737202-9096304,GAYA,BIHAR,823001.0,IN,Shipped
171-2842936-5423534,BENGALURU,KARNATAKA,560083.0,IN,Shipped
407-4936046-5852304,GURUGRAM,HARYANA,122001.0,IN,Unknown
407-4936046-5852304,GURUGRAM,HARYANA,122001.0,IN,Unknown
402-9580874-3525948,KOLLAM,KERALA,691522.0,IN,Shipped
404-7426070-1355530,HYDERABAD,TELANGANA,500034.0,IN,Shipped
406-4878137-1126707,PUNE,MAHARASHTRA,411052.0,IN,Shipped
171-3505516-3505949,PUNE,MAHARASHTRA,411046.0,IN,Shipped
406-6199849-7523514,PERALASSERI,KERALA,670622.0,IN,Shipped
406-6180074-2350757,BENGALURU,KARNATAKA,560102.0,IN,Shipped
406-6180074-2350757,BENGALURU,KARNATAKA,560102.0,IN,Shipped
406-2403215-8361103,BENGALURU,KARNATAKA,560102.0,IN,Shipped
404-6578109-5618751,BENGALURU,KARNATAKA,560100.0,IN,Shipped
407-2307966-4961113,UDUPI,KARNATAKA,576104.0,IN,Shipped
404-5539778-0029904,MARIANI,ASSAM,785634.0,IN,Shipped
171-6222676-0740318,NEW DELHI,DELHI,110075.0,IN,Shipped
403-2166075-2254703,MANGALURU,KARNATAKA,575006.0,IN,Shipped
407-5766340-7411567,AHMEDABAD,Gujarat,380022.0,IN,Shipped
404-0634392-1837110,KARANJA,MAHARASHTRA,444105.0,IN,Cancelled
408-2759943-9849959,KOLKATA,WEST BENGAL,700051.0,IN,Shipped
403-5977671-8855508,COOCH BEHAR,WEST BENGAL,736101.0,IN,Shipped
408-9321153-0591557,BENGALURU,KARNATAKA,560029.0,IN,Shipped
404-0696150-3898703,PUNE,MAHARASHTRA,411037.0,IN,Shipped
406-7586136-6520337,DEHRADUN,UTTARAKHAND,248009.0,IN,Shipped
407-6146457-8788352,GAYA,BIHAR,823001.0,IN,Shipped
404-8514200-3544346,BENGALURU,KARNATAKA,560036.0,IN,Cancelled
404-7452877-2137949,BENGALURU,KARNATAKA,560036.0,IN,Unknown
402-2703790-2816329,JHARIA KHAS,JHARKHAND,828111.0,IN,Unknown
407-1515930-8661921,KOLKATA,WEST BENGAL,700070.0,IN,Shipped
405-9144614-1601126,Secunderabad,TELANGANA,500010.0,IN,Shipped
407-0994909-4122733,UDAIPUR,RAJASTHAN,313001.0,IN,Shipped
402-7042386-5486768,COIMBATORE,TAMIL NADU,641030.0,IN,Shipped
403-7652993-1507525,BHUBANESWAR,ODISHA,751006.0,IN,Shipped
407-3847456-6656309,BHAGALPUR,BIHAR,812003.0,IN,Shipped
407-3847456-6656309,BHAGALPUR,BIHAR,812003.0,IN,Shipped
171-7623384-8040337,NAGPUR,MAHARASHTRA,440036.0,IN,Shipped
171-7623384-8040337,NAGPUR,MAHARASHTRA,440036.0,IN,Shipped
171-4607096-6413920,NAGPUR,MAHARASHTRA,440036.0,IN,Shipped
404-6783988-2006729,CHENNAI,TAMIL NADU,600096.0,IN,Shipped
404-6975277-1927553,BERHAMPORE,WEST BENGAL,742103.0,IN,Shipped
402-5586272-3646748,Dehradun,UTTARAKHAND,248001.0,IN,Shipped
171-6655820-6440356,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped
171-1584788-8864335,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped
402-0150402-0900371,SEONI,MADHYA PRADESH,480661.0,IN,Shipped
408-6791822-5493964,Agra,UTTAR PRADESH,282002.0,IN,Shipped
405-0483874-0889137,LUCKNOW,UTTAR PRADESH,226029.0,IN,Shipped
407-5600921-2143569,BENGALURU,KARNATAKA,560067.0,IN,Unknown
404-1607808-0769930,PATNA,BIHAR,800001.0,IN,Cancelled
407-5124083-2725136,GHAZIABAD,UTTAR PRADESH,201012.0,IN,Shipped
407-4766116-5412325,Nermand,HIMACHAL PRADESH,172023.0,IN,Shipped
402-6885004-6990731,CHENNAI,TAMIL NADU,600010.0,IN,Shipped
402-2207276-9869933,KAMAREDDY,TELANGANA,503111.0,IN,Shipped
407-9494293-9423561,SRINAGAR,JAMMU & KASHMIR,190015.0,IN,Shipped
171-6867266-8495534,BENGALURU,KARNATAKA,560042.0,IN,Shipped
408-3475592-6193128,MUDDEBIHAL,KARNATAKA,586212.0,IN,Shipped
171-1987024-2709164,SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0,IN,Shipped
406-1522425-5387565,HYDERABAD,TELANGANA,500058.0,IN,Shipped
171-3270734-5045130,NEW DELHI,DELHI,110045.0,IN,Shipped
408-4101226-7217932,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped
171-5719664-5449151,BENGALURU,KARNATAKA,560042.0,IN,Unshipped
403-9400764-4029123,BENGALURU,KARNATAKA,560102.0,IN,Shipped
406-8413944-2634744,Hyderabad,TELANGANA,500032.0,IN,Shipped
406-8271099-5133911,BENGALURU,KARNATAKA,562125.0,IN,Shipped
406-8271099-5133911,BENGALURU,KARNATAKA,562125.0,IN,Shipped
405-3441326-1516368,KOLKATA 700034,WEST BENGAL,700034.0,IN,Shipped
408-8009772-6580317,kolkata,WEST BENGAL,700045.0,IN,Shipped
402-4774686-7773937,HYDERABAD,TELANGANA,500001.0,IN,Shipped
402-2860689-5652319,SEONI,MADHYA PRADESH,480661.0,IN,Shipped
406-6386989-1689108,BARUIPUR,WEST BENGAL,700145.0,IN,Shipped
408-9720884-9553122,KENDRAPARA,ODISHA,754211.0,IN,Shipped
408-6428766-2839536,KENDRAPARA,ODISHA,754211.0,IN,Shipped
408-8641795-6914711,GURUGRAM,HARYANA,122001.0,IN,Shipped
402-9475978-1434754,VIJAYAWADA,ANDHRA PRADESH,521225.0,IN,Shipped
407-5776821-9327552,MUMBAI,MAHARASHTRA,400072.0,IN,Shipped
171-6845071-0336346,NASHIK,MAHARASHTRA,422003.0,IN,Shipped
404-7491342-1035558,THANE,MAHARASHTRA,401107.0,IN,Shipped
171-6783343-9758701,HOSHIARPUR,PUNJAB,146001.0,IN,Shipped
402-0043314-1059527,SEONI,MADHYA PRADESH,480661.0,IN,Unshipped
406-6586654-6641140,BENGALURU,KARNATAKA,560010.0,IN,Shipped
405-6120626-0941135,Bengaluru,KARNATAKA,560017.0,IN,Shipped
408-9255314-3102740,BARSHI,MAHARASHTRA,413401.0,IN,Shipped
408-3436456-9893130,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped
408-3870331-6287517,Dehradun,UTTARAKHAND,248001.0,IN,Shipped
408-3870331-6287517,Dehradun,UTTARAKHAND,248001.0,IN,Shipped
407-2882576-2777135,HYDERABAD,TELANGANA,500089.0,IN,Shipped
403-2256919-4846738,BENGALURU,KARNATAKA,560068.0,IN,Shipped
403-2920089-2403567,CHENNAI,TAMIL NADU,600036.0,IN,Shipped
406-7792526-4685142,HYDERABAD,TELANGANA,500028.0,IN,Shipped
406-7680255-6117120,HYDERABAD,TELANGANA,500028.0,IN,Shipped
402-4646784-8411501,CHANDI MANDIR,HARYANA,134107.0,IN,Shipped
405-2788163-4515521,ujjain,MADHYA PRADESH,456010.0,IN,Shipped
405-1757140-2025918,ujjain,MADHYA PRADESH,456010.0,IN,Shipped
403-9105351-8453114,Haldwani,UTTARAKHAND,263139.0,IN,Shipped
402-0503400-6235514,CHENNAI,TAMIL NADU,600125.0,IN,Shipped
408-3201739-2676310,MUMBAI,MAHARASHTRA,400049.0,IN,Shipped
171-8027093-8553945,Uttarkashi,UTTARAKHAND,249193.0,IN,Shipped
403-3331597-7637100,BHUBANESWAR,ODISHA,751006.0,IN,Shipped
403-4424319-6635501,Old Goa,Goa,403107.0,IN,Shipped
403-0906375-2269150,MAHESHWAR,MADHYA PRADESH,451224.0,IN,Unshipped
406-7261451-5682727,BENGALURU,KARNATAKA,560037.0,IN,Shipped
407-5096970-7475550,HARDOI,UTTAR PRADESH,241001.0,IN,Unknown
402-6566640-5417947,HYDERABAD,TELANGANA,500073.0,IN,Shipped
402-5302912-6805151,HYDERABAD,TELANGANA,500073.0,IN,Shipped
407-9707366-3029944,NEW DELHI,DELHI,110074.0,IN,Unknown
402-1365379-0131533,KAMAREDDY,TELANGANA,503111.0,IN,Cancelled
408-5540360-9479519,SHILLONG,MEGHALAYA,793008.0,IN,Shipped
403-2079921-1244300,DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552.0,IN,Unshipped
402-8019936-6115500,MYSURU,KARNATAKA,570016.0,IN,Unshipped
406-6711228-7576354,BENGALURU,KARNATAKA,560037.0,IN,Unshipped
171-1425554-3718756,BENGALURU,KARNATAKA,560070.0,IN,Shipped
407-9906412-0889129,CHAKDAHA,WEST BENGAL,741222.0,IN,Shipped
408-8991303-6559523,CHENNAI,TAMIL NADU,600082.0,IN,Shipped
408-6046797-8945127,KOLKATA,WEST BENGAL,700044.0,IN,Shipped
171-2134173-5385136,CHIKKAMAGALURU,KARNATAKA,577101.0,IN,Shipped
171-2134173-5385136,CHIKKAMAGALURU,KARNATAKA,577101.0,IN,Shipped
402-2155477-9353103,BHUBANESWAR,ODISHA,751003.0,IN,Shipped
407-8580022-5578715,GURUGRAM,HARYANA,122018.0,IN,Shipped
402-1572540-8678700,KOLKATA,WEST BENGAL,700050.0,IN,Shipped
171-1887627-9813158,VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN,Shipped
408-7712483-3825907,ALLAHABAD,UTTAR PRADESH,211004.0,IN,Shipped
402-3621298-2630741,MYSURU,KARNATAKA,570016.0,IN,Unshipped
404-8745561-3169903,LUCKNOW,UTTAR PRADESH,226022.0,IN,Shipped
404-1508602-9433941,KOLKATA,WEST BENGAL,700089.0,IN,Shipped
171-9371949-6030721,MALDA,WEST BENGAL,732101.0,IN,Shipped
171-2705563-6985105,DIMAPUR,NAGALAND,797112.0,IN,Shipped
171-3537751-4007556,Nellore,ANDHRA PRADESH,524314.0,IN,Shipped
408-5990312-3581165,PUDUCHERRY,PUDUCHERRY,605008.0,IN,Shipped
403-6062596-1220349,CUNCOLIM,GOA,403703.0,IN,Shipped
171-8220241-5105927,CHIKKAMAGALURU,KARNATAKA,577101.0,IN,Shipped
408-9405529-3743511,Hyderabad,TELANGANA,500068.0,IN,Shipped
402-3595365-1666728,NOIDA,UTTAR PRADESH,201301.0,IN,Unshipped
