orderid,fulfillment,shipservicelevel
171-4312987-5366767,Amazon,Expedited
403-5189998-9343503,Amazon,Expedited
407-9863928-5979501,Merchant,Standard
171-4644162-9093116,Merchant,Standard
406-0974406-3179521,Amazon,Expedited
402-0048138-1845122,Amazon,Expedited
407-6283946-7749133,Amazon,Expedited
407-0542879-1795554,Merchant,Standard
406-0218328-1773963,Amazon,Expedited
407-3742007-3242711,Amazon,Expedited
407-3742007-3242711,Amazon,Expedited
405-3067317-3360344,Amazon,Expedited
406-5648244-8317954,Amazon,Expedited
171-3460653-0171519,Amazon,Expedited
404-5337874-2284337,Amazon,Expedited
405-2660443-4165145,Merchant,Standard
402-3329522-2367566,Amazon,Expedited
406-3078054-1755513,Amazon,Expedited
171-4647176-6456305,Amazon,Expedited
408-5011528-8276347,Amazon,Expedited
407-4097885-3129958,Merchant,Standard
171-1224053-5752314,Merchant,Standard
406-2849582-6531553,Amazon,Expedited
407-5875767-6399551,Amazon,Expedited
171-6336729-6763536,Amazon,Expedited
404-3907920-5281963,Amazon,Expedited
408-7310428-6047538,Amazon,Expedited
403-2608092-6065935,Amazon,Expedited
404-9760385-9109154,Amazon,Expedited
405-0732969-3941948,Merchant,Standard
402-2720308-2560327,Amazon,Expedited
402-0589123-6183541,Amazon,Expedited
408-3874942-9917143,Amazon,Expedited
402-1706149-0949104,Amazon,Expedited
407-1672316-3245939,Amazon,Expedited
405-1832646-7988329,Amazon,Expedited
408-9692204-9817146,Amazon,Expedited
402-9339129-6219537,Amazon,Expedited
405-3036350-8089120,Amazon,Expedited
404-6680046-0839536,Merchant,Standard
406-2966654-4672325,Amazon,Expedited
403-4845285-4565113,Amazon,Expedited
171-4496851-5319548,Amazon,Expedited
408-3416118-1167564,Amazon,Expedited
406-1590113-9193914,Amazon,Expedited
404-0363929-8015528,Amazon,Expedited
407-7173744-5333154,Merchant,Standard
405-6880044-2861120,Amazon,Expedited
403-4337144-0984323,Amazon,Expedited
171-1851948-5476361,Amazon,Expedited
171-5810429-4493110,Amazon,Standard
171-1068229-1581965,Amazon,Expedited
402-2105140-3584364,Amazon,Expedited
403-3561336-3563535,Amazon,Expedited
402-9532672-5385917,Amazon,Expedited
408-4547464-4180323,Merchant,Standard
402-2211107-5096323,Amazon,Expedited
403-9412025-7537140,Amazon,Expedited
403-5456917-5571511,Amazon,Expedited
171-8452330-4756317,Amazon,Expedited
171-4350114-4299568,Merchant,Standard
405-8692900-3888310,Amazon,Expedited
402-6750101-3923558,Amazon,Expedited
403-5725327-6264327,Amazon,Expedited
403-5209693-1173944,Amazon,Expedited
403-8255889-7526765,Amazon,Expedited
407-3554912-7244363,Amazon,Expedited
407-4737202-9096304,Merchant,Standard
171-2842936-5423534,Amazon,Expedited
407-4936046-5852304,Merchant,Standard
407-4936046-5852304,Merchant,Standard
402-9580874-3525948,Amazon,Expedited
404-7426070-1355530,Amazon,Expedited
406-4878137-1126707,Amazon,Expedited
171-3505516-3505949,Amazon,Expedited
406-6199849-7523514,Amazon,Expedited
406-6180074-2350757,Amazon,Expedited
406-6180074-2350757,Amazon,Expedited
406-2403215-8361103,Merchant,Standard
404-6578109-5618751,Merchant,Standard
407-2307966-4961113,Amazon,Expedited
404-5539778-0029904,Amazon,Expedited
171-6222676-0740318,Amazon,Expedited
403-2166075-2254703,Amazon,Expedited
407-5766340-7411567,Amazon,Expedited
404-0634392-1837110,Amazon,Expedited
408-2759943-9849959,Amazon,Expedited
403-5977671-8855508,Merchant,Standard
408-9321153-0591557,Amazon,Expedited
404-0696150-3898703,Merchant,Standard
406-7586136-6520337,Merchant,Standard
407-6146457-8788352,Amazon,Expedited
404-8514200-3544346,Amazon,Expedited
404-7452877-2137949,Merchant,Standard
402-2703790-2816329,Merchant,Standard
407-1515930-8661921,Amazon,Expedited
405-9144614-1601126,Merchant,Standard
407-0994909-4122733,Amazon,Expedited
402-7042386-5486768,Amazon,Expedited
403-7652993-1507525,Amazon,Expedited
407-3847456-6656309,Amazon,Expedited
407-3847456-6656309,Amazon,Expedited
171-7623384-8040337,Amazon,Expedited
171-7623384-8040337,Amazon,Expedited
171-4607096-6413920,Merchant,Standard
404-6783988-2006729,Amazon,Expedited
404-6975277-1927553,Merchant,Standard
402-5586272-3646748,Amazon,Expedited
171-6655820-6440356,Amazon,Expedited
171-1584788-8864335,Merchant,Standard
402-0150402-0900371,Amazon,Expedited
408-6791822-5493964,Amazon,Expedited
405-0483874-0889137,Amazon,Expedited
407-5600921-2143569,Merchant,Standard
404-1607808-0769930,Amazon,Expedited
407-5124083-2725136,Amazon,Expedited
407-4766116-5412325,Amazon,Expedited
402-6885004-6990731,Amazon,Expedited
402-2207276-9869933,Amazon,Expedited
407-9494293-9423561,Amazon,Expedited
171-6867266-8495534,Amazon,Expedited
408-3475592-6193128,Amazon,Expedited
171-1987024-2709164,Amazon,Expedited
406-1522425-5387565,Amazon,Expedited
171-3270734-5045130,Amazon,Expedited
408-4101226-7217932,Merchant,Standard
171-5719664-5449151,Amazon,Expedited
403-9400764-4029123,Amazon,Standard
406-8413944-2634744,Amazon,Expedited
406-8271099-5133911,Amazon,Expedited
406-8271099-5133911,Amazon,Expedited
405-3441326-1516368,Amazon,Expedited
408-8009772-6580317,Amazon,Expedited
402-4774686-7773937,Merchant,Standard
402-2860689-5652319,Amazon,Expedited
406-6386989-1689108,Merchant,Standard
408-9720884-9553122,Amazon,Expedited
408-6428766-2839536,Merchant,Standard
408-8641795-6914711,Amazon,Expedited
402-9475978-1434754,Amazon,Expedited
407-5776821-9327552,Amazon,Expedited
171-6845071-0336346,Amazon,Expedited
404-7491342-1035558,Amazon,Expedited
171-6783343-9758701,Amazon,Expedited
402-0043314-1059527,Amazon,Expedited
406-6586654-6641140,Merchant,Standard
405-6120626-0941135,Amazon,Expedited
408-9255314-3102740,Amazon,Expedited
408-3436456-9893130,Amazon,Expedited
408-3870331-6287517,Amazon,Expedited
408-3870331-6287517,Amazon,Expedited
407-2882576-2777135,Merchant,Standard
403-2256919-4846738,Merchant,Standard
403-2920089-2403567,Amazon,Expedited
406-7792526-4685142,Amazon,Expedited
406-7680255-6117120,Amazon,Expedited
402-4646784-8411501,Merchant,Standard
405-2788163-4515521,Merchant,Standard
405-1757140-2025918,Amazon,Expedited
403-9105351-8453114,Amazon,Expedited
402-0503400-6235514,Amazon,Expedited
408-3201739-2676310,Amazon,Expedited
171-8027093-8553945,Amazon,Expedited
403-3331597-7637100,Amazon,Expedited
403-4424319-6635501,Amazon,Expedited
403-0906375-2269150,Amazon,Expedited
406-7261451-5682727,Amazon,Expedited
407-5096970-7475550,Merchant,Standard
402-6566640-5417947,Amazon,Expedited
402-5302912-6805151,Merchant,Standard
407-9707366-3029944,Merchant,Standard
402-1365379-0131533,Amazon,Expedited
408-5540360-9479519,Merchant,Standard
403-2079921-1244300,Amazon,Expedited
402-8019936-6115500,Amazon,Expedited
406-6711228-7576354,Amazon,Expedited
171-1425554-3718756,Amazon,Expedited
407-9906412-0889129,Amazon,Expedited
408-8991303-6559523,Amazon,Expedited
408-6046797-8945127,Amazon,Expedited
171-2134173-5385136,Amazon,Expedited
171-2134173-5385136,Amazon,Expedited
402-2155477-9353103,Amazon,Expedited
407-8580022-5578715,Merchant,Standard
402-1572540-8678700,Amazon,Expedited
171-1887627-9813158,Amazon,Expedited
408-7712483-3825907,Merchant,Standard
402-3621298-2630741,Amazon,Expedited
404-8745561-3169903,Amazon,Expedited
404-1508602-9433941,Amazon,Expedited
171-9371949-6030721,Amazon,Expedited
171-2705563-6985105,Amazon,Expedited
171-3537751-4007556,Amazon,Expedited
408-5990312-3581165,Amazon,Expedited
403-6062596-1220349,Amazon,Expedited
171-8220241-5105927,Amazon,Expedited
408-9405529-3743511,Amazon,Expedited
402-3595365-1666728,Amazon,Expedited
407-3271219-3762757,Amazon,Expedited
402-3660716-8589107,Merchant,Standard
171-3953233-6135505,Amazon,Expedited
402-5525660-2118707,Amazon,Expedited
406-9941718-1734719,Merchant,Standard
171-1297873-2176339,Amazon,Expedited
407-6401192-4057954,Amazon,Expedited
406-3397500-8084361,Amazon,Expedited
171-9620288-8918704,Amazon,Expedited
402-8089760-1132331,Amazon,Expedited
403-7042175-3905937,Amazon,Expedited
403-7042175-3905937,Amazon,Expedited
407-4629176-4141949,Amazon,Expedited
171-7306449-0588335,Amazon,Expedited
407-1396965-6726703,Amazon,Expedited
407-0624641-6557144,Amazon,Expedited
405-8444009-8723509,Amazon,Expedited
406-5729580-2175565,Amazon,Expedited
404-2255967-5457950,Amazon,Expedited
408-5020509-5674715,Merchant,Standard
407-7642883-3094732,Merchant,Standard
404-7608918-0571517,Amazon,Expedited
171-6589781-2209965,Amazon,Expedited
405-9442254-2207515,Merchant,Standard
405-3071731-6600369,Amazon,Expedited
404-6026001-1717923,Merchant,Standard
404-4026534-0431517,Amazon,Expedited
406-4970885-3273941,Merchant,Standard
406-2942566-8263534,Merchant,Standard
406-7501816-7391539,Merchant,Standard
408-3137526-3167563,Amazon,Standard
408-5211576-2061139,Amazon,Expedited
406-9632792-8869139,Amazon,Expedited
408-7971979-8745937,Merchant,Standard
405-5166820-2566738,Amazon,Expedited
405-8932002-4271522,Amazon,Expedited
404-1855398-2642751,Amazon,Expedited
408-0912805-7526753,Amazon,Expedited
402-2403704-9667560,Amazon,Expedited
405-2569549-3466719,Amazon,Expedited
405-2822825-3877133,Amazon,Expedited
171-5222377-4501935,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-2644368-7969167,Amazon,Expedited
171-1758807-7455529,Amazon,Expedited
404-5848202-7366725,Merchant,Standard
408-8224264-0017161,Amazon,Expedited
408-6529937-6381928,Amazon,Expedited
407-2028379-9672355,Amazon,Expedited
402-9221687-4573915,Amazon,Expedited
405-2668017-2013957,Amazon,Expedited
408-3337319-8990747,Amazon,Expedited
407-1256885-2004349,Amazon,Expedited
404-3723311-1030756,Amazon,Expedited
171-5542306-9306709,Amazon,Expedited
406-3702147-1800341,Merchant,Standard
404-5867260-9073129,Merchant,Standard
404-0532727-2082745,Amazon,Expedited
403-8966287-7773106,Amazon,Expedited
408-1512444-4965152,Amazon,Expedited
171-9451879-3651542,Amazon,Expedited
408-8501185-0578768,Amazon,Expedited
402-0251823-0845133,Merchant,Standard
408-5190897-8781155,Amazon,Expedited
403-3109934-4911514,Amazon,Expedited
407-0718034-7893108,Amazon,Expedited
404-0752237-5721965,Amazon,Expedited
403-6818986-3510737,Amazon,Expedited
403-4673019-6572340,Amazon,Expedited
171-4549643-0067500,Amazon,Expedited
404-3622512-3887551,Amazon,Expedited
406-6906315-9570765,Amazon,Expedited
407-3562449-1962729,Merchant,Standard
408-2593644-6317933,Amazon,Expedited
407-7607527-1189964,Merchant,Standard
405-7398388-2654744,Amazon,Expedited
405-5066690-4132337,Amazon,Expedited
408-6466311-6949931,Amazon,Standard
171-4643830-2345965,Merchant,Standard
404-1051549-5381167,Merchant,Standard
406-7625210-8793109,Amazon,Expedited
406-8665288-2025908,Amazon,Expedited
408-6732772-4525113,Merchant,Standard
171-7068385-2777168,Merchant,Standard
405-9930530-1209919,Amazon,Expedited
407-0288006-5535531,Amazon,Expedited
403-6363820-3080315,Amazon,Expedited
408-7937211-8974712,Amazon,Standard
407-4283259-6933941,Amazon,Expedited
407-3630361-4581152,Amazon,Expedited
408-6348199-2089932,Amazon,Standard
408-5824761-8505932,Merchant,Standard
406-0673842-3693910,Amazon,Expedited
405-0722232-7258752,Amazon,Expedited
408-0224364-7467540,Amazon,Expedited
408-2445040-0957913,Amazon,Expedited
406-8412164-3153129,Amazon,Expedited
407-5524319-6977912,Amazon,Expedited
407-7757868-6086759,Amazon,Expedited
171-5065107-7793119,Amazon,Expedited
403-0216195-8439543,Amazon,Expedited
402-9874837-4557125,Amazon,Expedited
408-8892348-9765950,Amazon,Expedited
408-6417023-0253911,Amazon,Expedited
407-4004149-2857161,Amazon,Expedited
404-6408992-6781106,Amazon,Expedited
407-9345273-2408359,Amazon,Expedited
408-0266080-9401113,Merchant,Standard
404-6096382-3389133,Merchant,Standard
405-9737320-3923530,Amazon,Expedited
402-7908398-5262750,Amazon,Expedited
407-6861831-9368312,Amazon,Expedited
406-4290163-4557960,Amazon,Expedited
405-9000587-4386763,Amazon,Expedited
405-9000587-4386763,Amazon,Expedited
404-7760595-7490722,Amazon,Expedited
403-8206114-6438765,Amazon,Expedited
404-6734371-2217151,Merchant,Standard
403-9844758-9663515,Amazon,Expedited
402-1037282-5400318,Amazon,Expedited
408-6497115-2636366,Merchant,Standard
408-2311178-4563550,Amazon,Expedited
171-7904830-1900363,Merchant,Standard
406-9476969-2801163,Amazon,Expedited
403-2867551-8904322,Amazon,Expedited
407-0133690-8157926,Amazon,Expedited
402-2892726-4411563,Amazon,Expedited
402-9688522-2179563,Amazon,Expedited
404-7977517-7125147,Amazon,Expedited
403-4009455-2766717,Amazon,Expedited
408-8960391-6097167,Amazon,Expedited
406-9811989-3946709,Amazon,Expedited
406-0361691-7797129,Merchant,Standard
408-9628391-5712365,Amazon,Expedited
408-1587720-2667552,Amazon,Expedited
171-5980259-5726757,Amazon,Expedited
405-2266530-9531500,Merchant,Standard
408-3468189-1632369,Amazon,Expedited
402-8199412-5613164,Amazon,Expedited
406-8049367-7383569,Amazon,Expedited
404-4084311-5014713,Amazon,Expedited
405-4491602-9761902,Amazon,Expedited
404-3973098-9107502,Amazon,Expedited
404-8364446-3952321,Amazon,Expedited
408-4378624-3886712,Amazon,Standard
408-2058872-0942730,Amazon,Expedited
408-2058872-0942730,Amazon,Expedited
404-5141245-7726736,Amazon,Expedited
405-5489495-6651552,Merchant,Standard
171-6816175-3049154,Amazon,Expedited
408-7342331-1733136,Amazon,Expedited
402-1721558-6618710,Merchant,Standard
406-2138801-8731538,Merchant,Standard
407-1271803-1705135,Amazon,Expedited
408-0666162-2209142,Amazon,Expedited
404-8344681-3468344,Amazon,Expedited
405-5365766-8023559,Merchant,Standard
405-2729845-2846741,Amazon,Expedited
407-7312276-7007540,Amazon,Expedited
407-6910434-1793162,Amazon,Expedited
407-7361111-8973957,Amazon,Expedited
406-2349830-7633129,Amazon,Expedited
404-0553710-6997951,Amazon,Expedited
404-5682813-1706729,Amazon,Expedited
171-0355946-6502712,Amazon,Expedited
405-5141255-1451535,Amazon,Expedited
402-4712282-7084353,Amazon,Expedited
408-4929717-0247504,Amazon,Expedited
408-4929717-0247504,Amazon,Expedited
407-0903946-2097158,Amazon,Expedited
403-3362230-0094739,Merchant,Standard
404-2227887-7441969,Amazon,Expedited
407-8016372-7101131,Amazon,Expedited
407-2520173-9985116,Amazon,Expedited
407-3257788-4892350,Amazon,Expedited
408-7201398-0382766,Amazon,Expedited
407-1181422-6183500,Amazon,Expedited
408-6235816-9261123,Amazon,Expedited
408-5823964-2421167,Merchant,Standard
408-2752424-0976355,Merchant,Standard
408-1221783-1443515,Amazon,Expedited
404-3977029-4836363,Amazon,Expedited
406-6993846-8855562,Amazon,Expedited
405-5018129-4536368,Amazon,Expedited
406-3787864-1268330,Amazon,Expedited
171-8504713-0689107,Amazon,Expedited
402-9564773-1029157,Amazon,Expedited
405-4930362-9342759,Amazon,Expedited
402-4976284-7401969,Amazon,Expedited
404-7724638-9574745,Amazon,Expedited
408-9182064-6638723,Amazon,Expedited
171-9163388-0505130,Amazon,Expedited
171-4737030-9245958,Amazon,Expedited
402-3889665-2309117,Merchant,Standard
404-0489249-5004350,Amazon,Expedited
402-5795462-7785129,Amazon,Expedited
402-1771710-8988341,Amazon,Expedited
407-8782240-5186712,Amazon,Expedited
406-1146171-5116306,Amazon,Expedited
405-4454054-5598720,Amazon,Expedited
405-0904566-9930731,Amazon,Expedited
405-2826187-6916328,Merchant,Standard
404-5926144-0737167,Amazon,Expedited
407-0010438-9058746,Amazon,Expedited
405-7730926-6032325,Merchant,Standard
171-6907664-7672347,Amazon,Expedited
404-0072596-3665116,Amazon,Expedited
406-8833813-9606757,Amazon,Expedited
408-3892272-6235562,Amazon,Expedited
171-9584070-4172351,Amazon,Expedited
402-1220435-6391519,Merchant,Standard
404-5137687-4471546,Amazon,Expedited
171-0065908-0641927,Amazon,Expedited
403-3416641-9569165,Amazon,Expedited
404-1694926-5861958,Amazon,Expedited
402-5767256-6281114,Amazon,Expedited
403-3410267-0750719,Amazon,Expedited
403-9122678-2549117,Amazon,Expedited
402-7676083-2016323,Amazon,Expedited
404-7830524-8312347,Amazon,Expedited
402-5917367-0340362,Merchant,Standard
408-7154712-8009957,Amazon,Expedited
402-6250862-8853945,Amazon,Expedited
406-0002738-2742749,Amazon,Expedited
403-6658095-6765934,Merchant,Standard
402-7304691-3952343,Amazon,Expedited
407-6959497-7065133,Amazon,Expedited
406-0117804-3287554,Amazon,Expedited
407-9183800-1013951,Amazon,Expedited
405-0930056-6437111,Amazon,Expedited
405-7472210-7516334,Amazon,Expedited
408-4366006-6437145,Amazon,Expedited
403-3676854-5721945,Amazon,Expedited
408-6618566-0057120,Amazon,Expedited
171-7822891-4076363,Amazon,Expedited
406-3015774-3032307,Amazon,Expedited
407-8925293-2306747,Merchant,Standard
402-7386453-2621962,Amazon,Expedited
405-7939580-3974740,Amazon,Expedited
402-1304000-3677964,Amazon,Expedited
403-7294367-8346767,Amazon,Expedited
403-7294367-8346767,Amazon,Expedited
406-3069661-8992322,Amazon,Expedited
405-6917473-7822701,Amazon,Expedited
405-2853362-9249968,Amazon,Expedited
408-5685967-2798764,Amazon,Expedited
407-1521483-6236364,Amazon,Expedited
407-3192826-3199543,Amazon,Expedited
405-6680529-6046716,Amazon,Expedited
407-3789221-2643524,Amazon,Expedited
171-0201364-0214715,Amazon,Expedited
404-5782230-8762723,Amazon,Expedited
404-2222453-6739538,Merchant,Standard
408-7009060-8830716,Amazon,Expedited
402-3663529-2350713,Amazon,Expedited
406-6439645-8186752,Amazon,Expedited
407-1487637-6585969,Amazon,Expedited
407-0632004-8093157,Amazon,Expedited
402-9211704-8331565,Merchant,Standard
402-3020801-9225151,Amazon,Expedited
403-3917470-4280308,Merchant,Standard
403-3917470-4280308,Merchant,Standard
171-2628906-0061939,Amazon,Expedited
406-3009249-7653118,Amazon,Expedited
171-6395980-8828309,Amazon,Expedited
404-1435490-1121140,Merchant,Standard
402-7913336-9467565,Amazon,Expedited
408-7264030-5002700,Amazon,Expedited
408-9019983-8862750,Amazon,Expedited
405-1990663-9192363,Amazon,Expedited
403-5876876-0701925,Amazon,Expedited
405-1437048-4974713,Amazon,Expedited
402-9348518-5984354,Amazon,Expedited
402-9348518-5984354,Amazon,Expedited
406-8892825-4377127,Amazon,Expedited
406-7955475-7819507,Amazon,Expedited
405-6675358-3715504,Amazon,Expedited
171-7920358-6691543,Amazon,Expedited
406-7722012-4093964,Merchant,Standard
408-7616878-8551517,Amazon,Expedited
408-8068196-8707526,Amazon,Standard
407-2512537-5717124,Amazon,Expedited
406-3257301-5556318,Amazon,Expedited
402-7784273-3159533,Amazon,Expedited
403-9745522-7408318,Amazon,Expedited
405-7523500-6097912,Amazon,Expedited
171-0947491-1860302,Amazon,Expedited
407-9614308-2636322,Amazon,Expedited
171-6153595-4758722,Amazon,Expedited
402-0721169-8180327,Amazon,Expedited
406-9129776-9779513,Amazon,Expedited
406-4276465-0364334,Amazon,Expedited
402-8123545-4535558,Merchant,Standard
408-0987613-5525924,Amazon,Expedited
406-0038568-0852338,Amazon,Expedited
403-5684700-6277902,Amazon,Expedited
403-2561797-6193141,Amazon,Expedited
406-4980665-9833930,Amazon,Expedited
405-9201316-2870743,Merchant,Standard
408-7966317-7457928,Merchant,Standard
171-0983521-4425145,Amazon,Expedited
403-5847066-2369918,Amazon,Expedited
404-9771516-3764302,Amazon,Expedited
405-0534257-8109938,Amazon,Expedited
171-5702903-4981901,Merchant,Standard
406-6474243-1265115,Amazon,Expedited
405-3523941-5355524,Merchant,Standard
405-3523941-5355524,Merchant,Standard
403-5082537-8368348,Merchant,Standard
408-5947919-3506726,Amazon,Expedited
408-6114783-6199528,Amazon,Expedited
408-6114783-6199528,Amazon,Expedited
408-9630926-2785104,Amazon,Expedited
403-5342526-7867558,Merchant,Standard
404-2255125-4533134,Amazon,Expedited
171-5594281-0212357,Merchant,Standard
405-6041428-1576346,Amazon,Expedited
405-5933927-3375545,Merchant,Standard
405-5933927-3375545,Merchant,Standard
405-3785331-3948333,Amazon,Expedited
404-8711304-7038702,Amazon,Expedited
405-2872303-9941933,Merchant,Standard
402-6464284-9643538,Amazon,Expedited
405-7534473-2900341,Amazon,Expedited
407-2944929-6438702,Merchant,Standard
171-0362861-1228360,Amazon,Expedited
404-5775216-5570767,Amazon,Expedited
171-2754000-1881907,Merchant,Standard
408-2784061-1695540,Amazon,Expedited
403-8794854-0523518,Amazon,Expedited
404-4680896-8003501,Amazon,Expedited
405-8314081-3929157,Amazon,Expedited
406-1694518-5618746,Amazon,Expedited
408-5094125-1397968,Amazon,Expedited
402-6569321-5308311,Amazon,Expedited
406-5828889-4813915,Amazon,Expedited
402-4832715-9188334,Amazon,Expedited
408-9898972-5365901,Merchant,Standard
408-7275140-3593905,Amazon,Expedited
405-7907546-1330739,Amazon,Expedited
405-7732656-4733913,Merchant,Standard
405-7732656-4733913,Merchant,Standard
405-7732656-4733913,Merchant,Standard
171-5431988-8713937,Amazon,Expedited
171-6687746-4020351,Amazon,Expedited
403-3045245-2207560,Amazon,Expedited
