orderid,date,status,qty,amount,currency,b2b
404-9632124-1107550,2022-04-30,Shipped - Delivered to Buyer,1,1233.0,INR,False
402-1465437-0579556,2022-04-30,Shipped - Delivered to Buyer,1,517.0,INR,False
404-7774085-3780319,2022-04-30,Shipped,1,376.0,INR,False
402-2764952-1492318,2022-04-30,Shipped - Delivered to Buyer,1,499.0,INR,False
406-0272200-7784379,2022-04-30,Shipped,1,666.0,INR,False
403-4367956-2849158,2022-04-30,Shipped,1,487.0,INR,False
403-4367956-2849158,2022-04-30,Shipped,1,368.0,INR,False
403-4242957-8599555,2022-04-30,Shipped,1,399.0,INR,False
408-7165704-5643524,2022-04-30,Shipped,1,699.0,INR,False
402-8210765-3935569,2022-04-30,Shipped,1,885.0,INR,False
406-7398201-3869914,2022-04-30,Shipped - Delivered to Buyer,1,424.0,INR,False
408-3478480-0881162,2022-04-30,Shipped,1,1126.0,INR,False
402-7595162-9129931,2022-04-30,Shipped,1,788.0,INR,False
171-6876154-6233146,2022-04-30,Shipped,1,759.0,INR,False
408-3917043-5314763,2022-04-30,Shipped,1,1146.0,INR,False
408-9281152-6213100,2022-04-30,Shipped,1,665.0,INR,False
403-3496411-3082707,2022-04-30,Shipped,1,429.0,INR,False
171-9208368-0157156,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
408-2137113-0982751,2022-04-30,Shipped,1,848.0,INR,False
402-3628566-9688333,2022-04-30,Shipped,1,654.0,INR,False
408-7138000-9728362,2022-04-30,Shipped,1,1033.0,INR,False
402-1752649-2274748,2022-04-30,Shipped,1,390.0,INR,False
402-7944191-1869101,2022-04-30,Shipped,1,493.0,INR,False
407-4063876-9566742,2022-04-30,Shipped,1,721.0,INR,False
403-0752752-4656334,2022-04-30,Shipped,1,597.0,INR,False
406-8879861-2081117,2022-04-30,Shipped,1,399.0,INR,False
406-8089333-7941903,2022-04-30,Shipped,1,888.0,INR,False
171-3072652-6805159,2022-04-30,Shipped,1,353.0,INR,False
171-2592464-6846743,2022-04-30,Shipped - Delivered to Buyer,1,599.0,INR,False
404-2262140-4696366,2022-04-30,Shipped,1,518.0,INR,False
404-2262140-4696366,2022-04-30,Shipped,1,295.0,INR,False
405-3594372-1614709,2022-04-30,Shipped,1,852.0,INR,False
407-2974257-4781134,2022-04-30,Shipped,1,824.0,INR,False
171-4137548-0481151,2022-04-30,Cancelled,0,568.57,INR,False
405-4461562-9113959,2022-04-30,Shipped,1,909.0,INR,False
404-4535078-5241919,2022-04-30,Shipped,1,432.0,INR,False
405-8387725-2971512,2022-04-30,Shipped,1,545.0,INR,False
405-6480932-8759528,2022-04-30,Shipped,1,1146.0,INR,False
405-9966506-3155561,2022-04-30,Shipped - Delivered to Buyer,1,696.0,INR,False
408-7029737-8028367,2022-04-30,Shipped,1,432.0,INR,False
407-2189901-7515567,2022-04-30,Shipped - Delivered to Buyer,1,631.0,INR,False
402-2105657-2899562,2022-04-30,Shipped,1,316.0,INR,False
406-1326801-8886709,2022-04-30,Shipped - Delivered to Buyer,1,362.0,INR,False
408-7760667-5809130,2022-04-30,Shipped,1,329.0,INR,False
405-8457623-9269955,2022-04-30,Shipped,1,399.0,INR,False
408-6820155-3521913,2022-04-30,Shipped,1,751.0,INR,False
403-6190683-2687538,2022-04-30,Shipped,1,791.0,INR,False
408-4069830-3819562,2022-04-30,Shipped,1,684.0,INR,False
408-4069830-3819562,2022-04-30,Shipped,1,1281.0,INR,False
408-4069830-3819562,2022-04-30,Shipped,1,1186.0,INR,False
171-7367545-7081126,2022-04-30,Shipped,1,499.0,INR,False
404-6522553-9345930,2022-04-30,Cancelled,0,1105.36,INR,False
403-9950518-0349133,2022-04-30,Cancelled,0,568.57,INR,False
407-6599093-6553153,2022-04-30,Shipped - Delivered to Buyer,1,377.0,INR,False
403-3763475-2237125,2022-04-30,Shipped,1,744.0,INR,False
405-1492294-0323520,2022-04-30,Shipped,1,744.0,INR,False
403-1162895-2484367,2022-04-30,Shipped - Delivered to Buyer,1,859.0,INR,False
171-6833843-5473114,2022-04-30,Shipped,1,487.0,INR,False
403-1477057-8253913,2022-04-30,Shipped,1,825.0,INR,False
408-2114413-6089906,2022-04-30,Shipped,1,680.0,INR,False
405-1879750-2639521,2022-04-30,Shipped - Delivered to Buyer,1,725.0,INR,False
406-5727754-5302723,2022-04-30,Shipped,1,696.0,INR,False
405-0901744-8270705,2022-04-30,Shipped,1,499.0,INR,False
405-9112089-3379536,2022-04-30,Cancelled,0,568.57,INR,False
408-6357132-2310703,2022-04-30,Shipped,1,696.0,INR,False
406-5334922-9670748,2022-04-30,Shipped,1,406.0,INR,False
402-8519791-3706738,2022-04-30,Shipped,1,852.0,INR,False
408-1830318-0357940,2022-04-30,Shipped,1,399.0,INR,False
406-5103760-7326749,2022-04-30,Shipped,1,432.0,INR,False
402-7841951-1872363,2022-04-30,Cancelled,0,568.57,INR,False
408-7698765-2294756,2022-04-30,Shipped - Delivered to Buyer,1,1338.0,INR,False
404-1856281-9996319,2022-04-30,Shipped - Delivered to Buyer,1,472.0,INR,False
406-5406738-7113145,2022-04-30,Shipped,1,788.0,INR,False
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,1,832.0,INR,False
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
405-2072502-4089911,2022-04-30,Shipped,1,599.0,INR,False
405-0882561-5952340,2022-04-30,Shipped,1,692.0,INR,False
403-7266170-1163500,2022-04-30,Shipped - Delivered to Buyer,1,518.0,INR,False
405-8114272-1687512,2022-04-30,Shipped,1,788.0,INR,False
171-6138639-1478731,2022-04-30,Shipped,1,318.0,INR,False
405-4059216-4541150,2022-04-30,Shipped,1,597.0,INR,False
405-1152015-7333945,2022-04-30,Shipped,1,888.0,INR,False
406-0177436-6731556,2022-04-30,Shipped,1,406.0,INR,False
406-0715107-8168308,2022-04-30,Shipped,1,1186.0,INR,False
403-0104882-7373900,2022-04-30,Cancelled,1,791.0,INR,False
403-0104882-7373900,2022-04-30,Cancelled,1,807.0,INR,False
403-0104882-7373900,2022-04-30,Cancelled,1,807.0,INR,False
405-3002282-6797102,2022-04-30,Shipped,1,311.0,INR,False
407-8466904-3461908,2022-04-30,Shipped,1,387.0,INR,False
171-3305587-5364338,2022-04-30,Shipped,1,348.0,INR,False
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,1,597.0,INR,False
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,1,549.0,INR,False
171-2813040-8296320,2022-04-30,Shipped,1,635.0,INR,False
408-9845791-1393151,2022-04-30,Shipped,1,597.0,INR,False
402-4277204-2348328,2022-04-30,Shipped,1,790.0,INR,False
171-3049339-2085136,2022-04-30,Shipped,1,375.0,INR,False
405-9928526-2470747,2022-04-30,Shipped,1,1115.0,INR,False
405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,1,579.0,INR,False
406-3984186-5973150,2022-04-30,Shipped,1,788.0,INR,False
171-8635309-7508346,2022-04-30,Shipped,1,597.0,INR,False
171-0293372-4913973,2022-04-30,Cancelled,0,568.57,INR,False
402-8288606-4313118,2022-04-30,Shipped,1,517.0,INR,False
402-8746990-6412346,2022-04-30,Shipped,1,442.0,INR,False
402-0294212-5431551,2022-04-30,Shipped,1,399.0,INR,False
406-1530134-2105912,2022-04-30,Shipped,1,518.0,INR,False
403-5222550-4437140,2022-04-30,Shipped,1,348.0,INR,False
408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,1,788.0,INR,False
403-6442534-2769112,2022-04-30,Cancelled,0,568.57,INR,False
408-3113070-0750756,2022-04-30,Shipped,1,597.0,INR,False
404-7796841-1880317,2022-04-30,Shipped,1,696.0,INR,False
405-2142542-0941949,2022-04-30,Shipped,1,363.0,INR,False
405-0286717-7761132,2022-04-30,Shipped,1,299.0,INR,False
406-9021273-9221106,2022-04-30,Shipped,1,690.0,INR,False
404-5381335-4577925,2022-04-30,Shipped,1,574.0,INR,False
171-0131752-2560336,2022-04-30,Shipped - Delivered to Buyer,1,1399.0,INR,False
407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,1,999.0,INR,False
171-8061614-5688327,2022-04-30,Shipped,1,999.0,INR,False
407-8248783-4261958,2022-04-30,Shipped,1,487.0,INR,False
404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,1,376.0,INR,False
406-7779874-9136347,2022-04-30,Shipped,1,1115.0,INR,False
406-9638549-1733961,2022-04-30,Shipped,1,517.0,INR,False
407-8801185-0134713,2022-04-30,Shipped,1,1126.0,INR,False
171-3625443-6505905,2022-04-30,Shipped,1,725.0,INR,False
402-8078642-8565124,2022-04-30,Cancelled,0,568.57,INR,False
402-2820441-9623566,2022-04-30,Shipped,1,721.0,INR,False
171-4312987-5366767,2022-04-30,Shipped,1,666.0,INR,False
403-5189998-9343503,2022-04-30,Shipped,1,496.0,INR,False
407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,1,353.0,INR,False
171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
406-0974406-3179521,2022-04-30,Shipped,1,458.0,INR,False
402-0048138-1845122,2022-04-30,Shipped,1,1115.0,INR,False
407-6283946-7749133,2022-04-30,Shipped,1,845.0,INR,False
407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
406-0218328-1773963,2022-04-30,Cancelled,0,568.57,INR,False
407-3742007-3242711,2022-04-30,Shipped,1,517.0,INR,False
407-3742007-3242711,2022-04-30,Shipped,1,517.0,INR,False
405-3067317-3360344,2022-04-30,Shipped,1,599.0,INR,False
406-5648244-8317954,2022-04-30,Shipped,1,487.0,INR,False
171-3460653-0171519,2022-04-30,Shipped,1,487.0,INR,False
404-5337874-2284337,2022-04-30,Shipped,1,568.0,INR,False
405-2660443-4165145,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
402-3329522-2367566,2022-04-30,Shipped,1,295.0,INR,False
406-3078054-1755513,2022-04-30,Shipped,1,484.0,INR,False
171-4647176-6456305,2022-04-30,Shipped,1,626.0,INR,False
408-5011528-8276347,2022-04-30,Shipped,1,563.0,INR,False
407-4097885-3129958,2022-04-30,Shipped - Delivered to Buyer,1,387.0,INR,False
171-1224053-5752314,2022-04-30,Cancelled,0,463.81,INR,False
406-2849582-6531553,2022-04-30,Shipped,1,512.0,INR,False
407-5875767-6399551,2022-04-30,Shipped,1,1112.0,INR,False
171-6336729-6763536,2022-04-30,Cancelled,1,626.0,INR,False
404-3907920-5281963,2022-04-30,Shipped,1,376.0,INR,False
408-7310428-6047538,2022-04-30,Shipped,1,859.0,INR,False
403-2608092-6065935,2022-04-30,Shipped,1,597.0,INR,False
404-9760385-9109154,2022-04-30,Shipped,1,329.0,INR,False
405-0732969-3941948,2022-04-30,Shipped - Delivered to Buyer,1,583.0,INR,False
402-2720308-2560327,2022-04-30,Shipped,1,665.0,INR,False
402-0589123-6183541,2022-04-30,Shipped,1,582.0,INR,False
408-3874942-9917143,2022-04-30,Shipped,1,1126.0,INR,False
402-1706149-0949104,2022-04-30,Shipped,1,534.0,INR,False
407-1672316-3245939,2022-04-30,Shipped,1,319.0,INR,False
405-1832646-7988329,2022-04-30,Shipped,1,368.0,INR,False
408-9692204-9817146,2022-04-30,Cancelled,1,597.0,INR,False
402-9339129-6219537,2022-04-30,Cancelled,1,654.0,INR,False
405-3036350-8089120,2022-04-30,Shipped,1,795.0,INR,False
404-6680046-0839536,2022-04-30,Shipped - Delivered to Buyer,1,744.0,INR,False
406-2966654-4672325,2022-04-30,Shipped,1,692.0,INR,False
403-4845285-4565113,2022-04-30,Shipped,1,563.0,INR,False
171-4496851-5319548,2022-04-30,Shipped,1,545.0,INR,False
408-3416118-1167564,2022-04-30,Shipped,1,999.0,INR,False
406-1590113-9193914,2022-04-30,Shipped,1,654.0,INR,False
404-0363929-8015528,2022-04-30,Shipped,1,588.0,INR,False
407-7173744-5333154,2022-04-30,Shipped - Delivered to Buyer,1,497.0,INR,False
405-6880044-2861120,2022-04-30,Shipped,1,517.0,INR,False
403-4337144-0984323,2022-04-30,Cancelled,0,568.57,INR,False
171-1851948-5476361,2022-04-30,Shipped,1,1115.0,INR,False
171-5810429-4493110,2022-04-30,Shipped,1,582.0,INR,False
171-1068229-1581965,2022-04-30,Shipped,1,449.0,INR,False
402-2105140-3584364,2022-04-30,Shipped,1,375.0,INR,False
403-3561336-3563535,2022-04-30,Shipped,1,771.0,INR,False
402-9532672-5385917,2022-04-30,Shipped,1,399.0,INR,False
408-4547464-4180323,2022-04-30,Shipped - Delivered to Buyer,1,0.0,INR,False
402-2211107-5096323,2022-04-30,Shipped,1,654.0,INR,False
403-9412025-7537140,2022-04-30,Shipped,1,424.0,INR,False
403-5456917-5571511,2022-04-30,Cancelled,0,568.57,INR,False
171-8452330-4756317,2022-04-30,Shipped,1,432.0,INR,False
171-4350114-4299568,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
405-8692900-3888310,2022-04-30,Shipped,1,399.0,INR,False
402-6750101-3923558,2022-04-30,Shipped,1,597.0,INR,False
403-5725327-6264327,2022-04-30,Shipped,1,463.0,INR,False
403-5209693-1173944,2022-04-30,Shipped,1,484.0,INR,False
403-8255889-7526765,2022-04-30,Shipped,1,635.0,INR,False
407-3554912-7244363,2022-04-30,Shipped,1,685.0,INR,False
407-4737202-9096304,2022-04-30,Shipped - Delivered to Buyer,1,725.0,INR,False
171-2842936-5423534,2022-04-30,Shipped,1,487.0,INR,False
407-4936046-5852304,2022-04-30,Cancelled,0,1249.11,INR,False
407-4936046-5852304,2022-04-30,Cancelled,0,1058.93,INR,False
402-9580874-3525948,2022-04-30,Shipped,1,696.0,INR,False
404-7426070-1355530,2022-04-30,Shipped,1,329.0,INR,False
406-4878137-1126707,2022-04-30,Shipped,1,517.0,INR,False
171-3505516-3505949,2022-04-30,Shipped,1,591.0,INR,False
406-6199849-7523514,2022-04-30,Shipped,1,406.0,INR,False
406-6180074-2350757,2022-04-30,Shipped,1,684.0,INR,False
406-6180074-2350757,2022-04-30,Shipped,1,1115.0,INR,False
406-2403215-8361103,2022-04-30,Shipped - Delivered to Buyer,1,999.0,INR,False
404-6578109-5618751,2022-04-30,Shipped - Delivered to Buyer,1,295.0,INR,False
407-2307966-4961113,2022-04-30,Shipped,1,442.0,INR,False
404-5539778-0029904,2022-04-30,Shipped,1,563.0,INR,False
171-6222676-0740318,2022-04-30,Shipped,1,435.0,INR,False
403-2166075-2254703,2022-04-30,Shipped,1,563.0,INR,False
407-5766340-7411567,2022-04-30,Shipped,1,399.0,INR,True
404-0634392-1837110,2022-04-30,Cancelled,0,568.57,INR,False
408-2759943-9849959,2022-04-30,Shipped,1,1338.0,INR,False
403-5977671-8855508,2022-04-30,Shipped - Returned to Seller,1,1115.0,INR,False
408-9321153-0591557,2022-04-30,Shipped,1,399.0,INR,False
404-0696150-3898703,2022-04-30,Shipped - Delivered to Buyer,1,499.0,INR,False
406-7586136-6520337,2022-04-30,Shipped - Delivered to Buyer,1,791.0,INR,False
407-6146457-8788352,2022-04-30,Shipped,1,725.0,INR,False
404-8514200-3544346,2022-04-30,Cancelled,0,568.57,INR,False
404-7452877-2137949,2022-04-30,Cancelled,0,568.57,INR,False
402-2703790-2816329,2022-04-30,Cancelled,0,1278.57,INR,False
407-1515930-8661921,2022-04-30,Shipped,1,1099.0,INR,False
405-9144614-1601126,2022-04-30,Shipped - Delivered to Buyer,1,533.0,INR,False
407-0994909-4122733,2022-04-30,Shipped,1,696.0,INR,False
402-7042386-5486768,2022-04-30,Shipped,1,363.0,INR,False
403-7652993-1507525,2022-04-30,Shipped,1,631.0,INR,False
407-3847456-6656309,2022-04-30,Shipped,1,1115.0,INR,False
407-3847456-6656309,2022-04-30,Shipped,1,968.0,INR,False
171-7623384-8040337,2022-04-30,Shipped,1,486.0,INR,False
171-7623384-8040337,2022-04-30,Shipped,1,597.0,INR,False
171-4607096-6413920,2022-04-30,Shipped - Delivered to Buyer,1,563.0,INR,False
404-6783988-2006729,2022-04-30,Shipped,1,597.0,INR,False
404-6975277-1927553,2022-04-30,Shipped - Delivered to Buyer,1,458.0,INR,False
402-5586272-3646748,2022-04-30,Shipped,1,1065.0,INR,False
171-6655820-6440356,2022-04-30,Shipped,2,2130.0,INR,False
171-1584788-8864335,2022-04-30,Shipped - Delivered to Buyer,1,1099.0,INR,False
402-0150402-0900371,2022-04-30,Shipped,1,721.0,INR,False
408-6791822-5493964,2022-04-30,Shipped,1,968.0,INR,False
405-0483874-0889137,2022-04-30,Shipped,1,563.0,INR,False
407-5600921-2143569,2022-04-30,Cancelled,0,995.54,INR,False
404-1607808-0769930,2022-04-30,Cancelled,0,568.57,INR,False
407-5124083-2725136,2022-04-30,Shipped,1,682.0,INR,False
407-4766116-5412325,2022-04-30,Shipped,1,399.0,INR,False
402-6885004-6990731,2022-04-30,Shipped,1,626.0,INR,False
402-2207276-9869933,2022-04-30,Shipped,1,1140.0,INR,False
407-9494293-9423561,2022-04-30,Shipped,1,486.0,INR,False
171-6867266-8495534,2022-04-30,Shipped,1,597.0,INR,False
408-3475592-6193128,2022-04-30,Shipped,1,399.0,INR,False
171-1987024-2709164,2022-04-30,Shipped,1,660.0,INR,False
406-1522425-5387565,2022-04-30,Shipped,1,459.0,INR,False
171-3270734-5045130,2022-04-30,Shipped,1,631.0,INR,False
408-4101226-7217932,2022-04-30,Shipped - Delivered to Buyer,1,459.0,INR,False
171-5719664-5449151,2022-04-30,Cancelled,1,597.0,INR,False
403-9400764-4029123,2022-04-30,Shipped,1,852.0,INR,False
406-8413944-2634744,2022-04-30,Shipped,1,353.0,INR,False
406-8271099-5133911,2022-04-30,Shipped,1,345.0,INR,False
406-8271099-5133911,2022-04-30,Shipped,1,329.0,INR,False
405-3441326-1516368,2022-04-30,Shipped,1,518.0,INR,False
408-8009772-6580317,2022-04-30,Shipped,1,387.0,INR,False
402-4774686-7773937,2022-04-30,Shipped - Delivered to Buyer,1,339.0,INR,False
402-2860689-5652319,2022-04-30,Shipped,1,744.0,INR,False
406-6386989-1689108,2022-04-30,Shipped - Delivered to Buyer,1,888.0,INR,False
408-9720884-9553122,2022-04-30,Shipped,1,487.0,INR,False
408-6428766-2839536,2022-04-30,Shipped - Delivered to Buyer,1,487.0,INR,False
408-8641795-6914711,2022-04-30,Shipped,1,563.0,INR,False
402-9475978-1434754,2022-04-30,Shipped,1,859.0,INR,False
407-5776821-9327552,2022-04-30,Shipped,1,1133.0,INR,False
171-6845071-0336346,2022-04-30,Shipped,1,788.0,INR,False
404-7491342-1035558,2022-04-30,Shipped,1,1463.0,INR,False
171-6783343-9758701,2022-04-30,Shipped,1,399.0,INR,False
402-0043314-1059527,2022-04-30,Cancelled,1,744.0,INR,False
406-6586654-6641140,2022-04-30,Shipped - Delivered to Buyer,1,487.0,INR,False
405-6120626-0941135,2022-04-30,Shipped,1,657.0,INR,False
408-9255314-3102740,2022-04-30,Shipped,1,1133.0,INR,False
408-3436456-9893130,2022-04-30,Shipped,1,399.0,INR,False
408-3870331-6287517,2022-04-30,Shipped,1,399.0,INR,False
408-3870331-6287517,2022-04-30,Shipped,1,399.0,INR,False
407-2882576-2777135,2022-04-30,Shipped - Delivered to Buyer,1,1233.0,INR,False
403-2256919-4846738,2022-04-30,Shipped - Delivered to Buyer,1,825.0,INR,False
403-2920089-2403567,2022-04-30,Shipped,1,487.0,INR,False
406-7792526-4685142,2022-04-30,Shipped,1,563.0,INR,False
406-7680255-6117120,2022-04-30,Shipped,1,399.0,INR,False
402-4646784-8411501,2022-04-30,Shipped - Delivered to Buyer,1,471.0,INR,False
405-2788163-4515521,2022-04-30,Shipped - Delivered to Buyer,1,342.0,INR,False
405-1757140-2025918,2022-04-30,Shipped,1,432.0,INR,False
403-9105351-8453114,2022-04-30,Shipped,1,399.0,INR,False
402-0503400-6235514,2022-04-30,Shipped,1,736.0,INR,False
408-3201739-2676310,2022-04-30,Shipped,1,1260.0,INR,False
171-8027093-8553945,2022-04-30,Shipped,1,399.0,INR,False
403-3331597-7637100,2022-04-30,Shipped,1,1133.0,INR,False
403-4424319-6635501,2022-04-30,Shipped,1,759.0,INR,False
403-0906375-2269150,2022-04-30,Cancelled,1,475.0,INR,False
406-7261451-5682727,2022-04-30,Shipped,1,744.0,INR,False
407-5096970-7475550,2022-04-30,Cancelled,0,1902.86,INR,False
402-6566640-5417947,2022-04-30,Shipped,1,771.0,INR,False
402-5302912-6805151,2022-04-30,Shipped - Delivered to Buyer,1,725.0,INR,False
407-9707366-3029944,2022-04-30,Cancelled,0,473.33,INR,False
402-1365379-0131533,2022-04-30,Cancelled,0,568.57,INR,False
408-5540360-9479519,2022-04-30,Shipped - Delivered to Buyer,1,759.0,INR,False
403-2079921-1244300,2022-04-30,Cancelled,1,475.0,INR,False
402-8019936-6115500,2022-04-30,Cancelled,1,654.0,INR,False
406-6711228-7576354,2022-04-30,Cancelled,1,791.0,INR,False
171-1425554-3718756,2022-04-30,Shipped,1,744.0,INR,False
407-9906412-0889129,2022-04-30,Shipped,1,376.0,INR,False
408-8991303-6559523,2022-04-30,Shipped,1,399.0,INR,False
408-6046797-8945127,2022-04-30,Shipped,1,599.0,INR,False
171-2134173-5385136,2022-04-30,Shipped,1,782.0,INR,False
171-2134173-5385136,2022-04-30,Shipped,1,362.0,INR,False
402-2155477-9353103,2022-04-30,Shipped,1,1173.0,INR,False
407-8580022-5578715,2022-04-30,Shipped - Delivered to Buyer,1,744.0,INR,False
402-1572540-8678700,2022-04-30,Shipped,1,725.0,INR,False
171-1887627-9813158,2022-04-30,Shipped,1,376.0,INR,False
408-7712483-3825907,2022-04-30,Shipped - Delivered to Buyer,1,459.0,INR,False
402-3621298-2630741,2022-04-30,Cancelled,1,654.0,INR,False
404-8745561-3169903,2022-04-30,Shipped,1,379.0,INR,False
404-1508602-9433941,2022-04-30,Shipped,1,696.0,INR,False
171-9371949-6030721,2022-04-30,Shipped,1,597.0,INR,False
171-2705563-6985105,2022-04-30,Shipped,1,692.0,INR,False
171-3537751-4007556,2022-04-30,Shipped,1,1999.0,INR,False
408-5990312-3581165,2022-04-30,Shipped,1,824.0,INR,False
403-6062596-1220349,2022-04-30,Shipped,1,399.0,INR,False
171-8220241-5105927,2022-04-30,Shipped,1,737.0,INR,False
408-9405529-3743511,2022-04-30,Shipped,1,399.0,INR,False
402-3595365-1666728,2022-04-30,Cancelled,1,899.0,INR,False
407-3271219-3762757,2022-04-30,Shipped,1,368.0,INR,False
402-3660716-8589107,2022-04-30,Shipped - Delivered to Buyer,1,471.0,INR,False
171-3953233-6135505,2022-04-30,Shipped,1,399.0,INR,False
402-5525660-2118707,2022-04-30,Shipped,1,376.0,INR,False
406-9941718-1734719,2022-04-30,Shipped - Delivered to Buyer,1,544.0,INR,False
171-1297873-2176339,2022-04-30,Shipped,1,499.0,INR,False
407-6401192-4057954,2022-04-30,Shipped,1,426.0,INR,False
406-3397500-8084361,2022-04-30,Shipped,1,399.0,INR,False
171-9620288-8918704,2022-04-30,Cancelled,0,568.57,INR,False
402-8089760-1132331,2022-04-30,Shipped,1,995.0,INR,False
403-7042175-3905937,2022-04-30,Shipped,1,499.0,INR,False
403-7042175-3905937,2022-04-30,Shipped,1,499.0,INR,False
407-4629176-4141949,2022-04-30,Shipped,1,597.0,INR,False
171-7306449-0588335,2022-04-30,Shipped,1,562.0,INR,False
407-1396965-6726703,2022-04-30,Shipped,1,696.0,INR,False
407-0624641-6557144,2022-04-30,Shipped,1,788.0,INR,False
405-8444009-8723509,2022-04-30,Shipped,1,399.0,INR,False
406-5729580-2175565,2022-04-30,Shipped,1,1099.0,INR,False
404-2255967-5457950,2022-04-30,Shipped,1,476.0,INR,False
408-5020509-5674715,2022-04-30,Shipped - Returned to Seller,1,0.0,INR,False
407-7642883-3094732,2022-04-30,Shipped - Delivered to Buyer,1,885.0,INR,False
404-7608918-0571517,2022-04-30,Shipped,1,654.0,INR,False
171-6589781-2209965,2022-04-30,Shipped,1,625.0,INR,False
405-9442254-2207515,2022-04-30,Shipped - Delivered to Buyer,1,505.0,INR,False
405-3071731-6600369,2022-04-30,Shipped,1,563.0,INR,False
404-6026001-1717923,2022-04-30,Cancelled,0,344.76,INR,False
404-4026534-0431517,2022-04-30,Cancelled,0,568.57,INR,False
406-4970885-3273941,2022-04-30,Shipped - Delivered to Buyer,1,666.0,INR,False
406-2942566-8263534,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
406-7501816-7391539,2022-04-30,Shipped - Delivered to Buyer,1,432.0,INR,False
408-3137526-3167563,2022-04-30,Shipped,1,0.0,INR,False
408-5211576-2061139,2022-04-30,Shipped,1,1099.0,INR,False
406-9632792-8869139,2022-04-30,Shipped,1,353.0,INR,False
408-7971979-8745937,2022-04-30,Shipped - Delivered to Buyer,1,0.0,INR,False
405-5166820-2566738,2022-04-30,Shipped,1,563.0,INR,False
405-8932002-4271522,2022-04-30,Shipped,1,788.0,INR,False
404-1855398-2642751,2022-04-30,Shipped,1,654.0,INR,False
408-0912805-7526753,2022-04-30,Shipped,1,0.0,INR,False
402-2403704-9667560,2022-04-30,Shipped,1,399.0,INR,False
405-2569549-3466719,2022-04-30,Shipped,1,696.0,INR,False
405-2822825-3877133,2022-04-30,Shipped,1,1112.0,INR,False
171-5222377-4501935,2022-04-30,Shipped,1,517.0,INR,False
171-2644368-7969167,2022-04-30,Shipped,1,888.0,INR,False
